BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1894898,625.0,600.0,25.0,27.0,0.07712173461914062,8.606910705566406e-05
1894899,550.0,524.0,26.0,28.0,0.08003592491149902,9.870529174804688e-05
1894900,551.0,524.0,27.0,29.0,0.07995152473449707,9.894371032714844e-05
1894901,512.0,484.0,28.0,29.0,0.06696200370788574,0.00010919570922851562
1894902,512.0,485.0,27.0,28.0,0.06961178779602051,9.012222290039062e-05
1894903,606.0,579.0,27.0,29.0,0.08480620384216309,0.00010085105895996094
1894904,512.0,484.0,28.0,29.0,0.06863713264465332,0.00010800361633300781
1894905,580.0,552.0,28.0,30.0,0.07490682601928711,9.322166442871094e-05
1894906,512.0,484.0,28.0,29.0,0.060765981674194336,0.00010156631469726562
1894907,579.0,552.0,27.0,29.0,0.07799482345581055,9.083747863769531e-05
1894908,512.0,485.0,27.0,28.0,0.059389352798461914,9.965896606445312e-05
1894909,512.0,485.0,27.0,28.0,0.06406879425048828,8.916854858398438e-05
1894910,604.0,578.0,26.0,28.0,0.06739354133605957,8.893013000488281e-05
1894911,512.0,485.0,27.0,28.0,0.05997300148010254,9.560585021972656e-05
1894912,578.0,551.0,27.0,29.0,0.09273695945739746,8.916854858398438e-05
1894913,512.0,485.0,27.0,28.0,0.07910919189453125,9.751319885253906e-05
1894914,578.0,551.0,27.0,29.0,0.07623457908630371,8.106231689453125e-05
1894915,552.0,524.0,28.0,30.0,0.08257460594177246,9.942054748535156e-05
1894916,512.0,483.0,29.0,30.0,0.06184673309326172,0.00010204315185546875
1894917,581.0,553.0,28.0,30.0,0.08041834831237793,9.083747863769531e-05
1894918,512.0,484.0,28.0,29.0,0.06332540512084961,0.00010180473327636719
1894919,580.0,552.0,28.0,30.0,0.07524466514587402,9.298324584960938e-05
1894920,553.0,524.0,29.0,31.0,0.07613182067871094,0.000102996826171875
1894921,554.0,524.0,30.0,32.0,0.06795668601989746,0.000102996826171875
1894922,555.0,524.0,31.0,33.0,0.08256840705871582,0.00010657310485839844
1894923,512.0,480.0,32.0,33.0,0.061626434326171875,0.00010657310485839844
1894924,587.0,556.0,31.0,33.0,0.07177066802978516,9.298324584960938e-05
1894925,512.0,480.0,32.0,33.0,0.055481910705566406,0.00010657310485839844
1894926,588.0,556.0,32.0,34.0,0.0747520923614502,9.274482727050781e-05
1894927,512.0,482.0,30.0,31.0,0.061003923416137695,0.00011134147644042969
1894928,584.0,554.0,30.0,32.0,0.08695530891418457,9.322166442871094e-05
1894929,555.0,524.0,31.0,33.0,0.07619214057922363,0.00010585784912109375
1894930,556.0,524.0,32.0,34.0,0.07695245742797852,0.00010204315185546875
1894931,512.0,479.0,33.0,34.0,0.06404590606689453,0.00013065338134765625
1894932,589.0,557.0,32.0,34.0,0.07994651794433594,9.393692016601562e-05
1894933,544.0,512.0,32.0,33.0,0.07163071632385254,0.0001010894775390625
1894934,556.0,524.0,32.0,34.0,0.09874892234802246,0.000102996826171875
1894935,557.0,524.0,33.0,35.0,0.08784079551696777,0.00011873245239257812
1894936,512.0,478.0,34.0,35.0,0.07311892509460449,0.00011086463928222656
1894937,512.0,478.0,34.0,35.0,0.07464838027954102,0.00010085105895996094
1894938,512.0,478.0,34.0,35.0,0.07312917709350586,0.00010251998901367188
1894939,660.0,626.0,34.0,36.0,0.08840012550354004,0.00010514259338378906
1894940,558.0,524.0,34.0,36.0,0.08624148368835449,0.00011014938354492188
1894941,571.0,536.0,35.0,38.0,0.07900524139404297,0.00010538101196289062
1894942,512.0,475.0,37.0,38.0,0.06626653671264648,0.00010943412780761719
1894943,597.0,561.0,36.0,38.0,0.09090709686279297,0.00010418891906738281
1894944,512.0,476.0,36.0,37.0,0.0794060230255127,0.00010943412780761719
1894945,596.0,560.0,36.0,38.0,0.09596991539001465,0.00010657310485839844
1894946,549.0,512.0,37.0,38.0,0.09586954116821289,0.00010967254638671875
1894947,512.0,475.0,37.0,38.0,0.0758824348449707,0.00011348724365234375
1894948,512.0,475.0,37.0,38.0,0.07312846183776855,0.00010251998901367188
1894949,512.0,475.0,37.0,38.0,0.08013272285461426,0.00010704994201660156
1894950,512.0,476.0,36.0,37.0,0.06413459777832031,0.00010633468627929688
1894951,512.0,476.0,36.0,37.0,0.06731033325195312,0.00010395050048828125
1894952,512.0,476.0,36.0,37.0,0.06151294708251953,0.000102996826171875
1894953,512.0,476.0,36.0,37.0,0.0730595588684082,9.417533874511719e-05
1894954,512.0,476.0,36.0,37.0,0.06496644020080566,0.00010251998901367188
1894955,512.0,476.0,36.0,37.0,0.0808568000793457,0.00011491775512695312
1894956,512.0,478.0,34.0,35.0,0.06036639213562012,0.00010776519775390625
1894957,512.0,478.0,34.0,35.0,0.06414937973022461,9.608268737792969e-05
1894958,512.0,478.0,34.0,35.0,0.0666646957397461,0.00010037422180175781
1894959,512.0,480.0,32.0,33.0,0.06363606452941895,9.703636169433594e-05
1894960,512.0,480.0,32.0,33.0,0.07972836494445801,9.34600830078125e-05
1894961,512.0,480.0,32.0,33.0,0.07869076728820801,0.00011515617370605469
1894962,512.0,480.0,32.0,33.0,0.06781339645385742,9.751319885253906e-05
1894963,512.0,480.0,32.0,33.0,0.07607364654541016,9.72747802734375e-05
1894964,512.0,480.0,32.0,33.0,0.07190895080566406,0.00010156631469726562
1894965,512.0,480.0,32.0,34.0,0.06374478340148926,0.00010442733764648438
1894966,512.0,479.0,33.0,34.0,0.05730438232421875,9.632110595703125e-05
1894967,512.0,480.0,32.0,33.0,0.05998396873474121,9.489059448242188e-05
1894968,512.0,481.0,31.0,32.0,0.06886100769042969,9.679794311523438e-05
1894969,512.0,482.0,30.0,31.0,0.06946206092834473,9.679794311523438e-05
1894970,512.0,482.0,30.0,31.0,0.05686450004577637,9.942054748535156e-05
1894971,512.0,482.0,30.0,31.0,0.08296990394592285,9.441375732421875e-05
1894972,512.0,482.0,30.0,31.0,0.06086897850036621,0.00010180473327636719
1894973,512.0,482.0,30.0,31.0,0.06440877914428711,9.250640869140625e-05
1894974,512.0,482.0,30.0,31.0,0.06523251533508301,9.489059448242188e-05
1894975,512.0,482.0,30.0,31.0,0.07015371322631836,0.00011229515075683594
1894976,512.0,482.0,30.0,31.0,0.07427144050598145,9.179115295410156e-05
1894977,512.0,482.0,30.0,31.0,0.08139395713806152,0.00010061264038085938
1894978,512.0,483.0,29.0,30.0,0.07895350456237793,9.5367431640625e-05
1894979,512.0,483.0,29.0,30.0,0.06903648376464844,9.799003601074219e-05
1894980,512.0,483.0,29.0,30.0,0.07397937774658203,9.202957153320312e-05
1894981,512.0,483.0,29.0,30.0,0.07638192176818848,6.151199340820312e-05
1894982,512.0,483.0,29.0,30.0,0.06909799575805664,9.822845458984375e-05
1894983,512.0,483.0,29.0,30.0,0.06778979301452637,9.584426879882812e-05
1894984,512.0,483.0,29.0,30.0,0.0680241584777832,9.608268737792969e-05
1894985,512.0,483.0,29.0,30.0,0.07215166091918945,0.00010561943054199219
1894986,512.0,483.0,29.0,30.0,0.07074499130249023,9.846687316894531e-05
1894987,512.0,483.0,29.0,30.0,0.06848573684692383,9.560585021972656e-05
1894988,512.0,483.0,29.0,30.0,0.0801093578338623,6.29425048828125e-05
1894989,512.0,483.0,29.0,30.0,0.06744074821472168,6.461143493652344e-05
1894990,512.0,483.0,29.0,30.0,0.0760951042175293,5.698204040527344e-05
1894991,512.0,483.0,29.0,30.0,0.09095621109008789,6.413459777832031e-05
1894992,512.0,484.0,28.0,29.0,0.0648190975189209,5.6743621826171875e-05
1894993,993.0,965.0,28.0,30.0,0.10820984840393066,5.650520324707031e-05
1894994,553.0,524.0,29.0,31.0,0.07452559471130371,7.152557373046875e-05
1894995,554.0,524.0,30.0,32.0,0.07307648658752441,6.29425048828125e-05
1894996,512.0,481.0,31.0,32.0,0.06556367874145508,5.555152893066406e-05
1894997,585.0,555.0,30.0,32.0,0.08229207992553711,8.535385131835938e-05
1894998,554.0,524.0,30.0,32.0,0.09173703193664551,0.00010538101196289062
1894999,555.0,524.0,31.0,33.0,0.08019161224365234,0.00011134147644042969
1895000,512.0,481.0,31.0,32.0,0.06868481636047363,0.00010442733764648438
1895001,512.0,481.0,31.0,32.0,0.06786513328552246,0.000110626220703125
1895002,617.0,586.0,31.0,33.0,0.07671308517456055,9.775161743164062e-05
1895003,512.0,480.0,32.0,33.0,0.06706666946411133,0.00010657310485839844
1895004,512.0,480.0,32.0,33.0,0.06796765327453613,9.822845458984375e-05
1895005,512.0,480.0,32.0,33.0,0.07055234909057617,0.00011372566223144531
1895006,512.0,480.0,32.0,33.0,0.06924128532409668,0.00010275840759277344
1895007,512.0,480.0,32.0,33.0,0.06375312805175781,0.00010824203491210938
1895008,512.0,480.0,32.0,33.0,0.06128072738647461,9.5367431640625e-05
1895009,748.0,716.0,32.0,34.0,0.08283805847167969,9.465217590332031e-05
1895010,557.0,524.0,33.0,35.0,0.08086371421813965,0.00010895729064941406
1895011,512.0,478.0,34.0,35.0,0.06051802635192871,0.00010442733764648438
1895012,512.0,478.0,34.0,35.0,0.06622529029846191,9.679794311523438e-05
1895013,626.0,592.0,34.0,36.0,0.08111786842346191,8.988380432128906e-05
1895014,559.0,524.0,35.0,37.0,0.08282160758972168,0.0001087188720703125
1895015,560.0,524.0,36.0,38.0,0.0959465503692627,0.00010943412780761719
1895016,561.0,524.0,37.0,39.0,0.0828862190246582,0.00011730194091796875
1895017,561.0,524.0,37.0,39.0,0.08523702621459961,0.00010561943054199219
1895018,561.0,524.0,37.0,39.0,0.08038115501403809,0.00010895729064941406
1895019,512.0,475.0,37.0,38.0,0.0668947696685791,0.00011229515075683594
1895020,512.0,475.0,37.0,38.0,0.07467794418334961,9.989738464355469e-05
1895021,635.0,598.0,37.0,39.0,0.0933680534362793,0.00010037422180175781
1895022,512.0,474.0,38.0,39.0,0.0716865062713623,0.00011324882507324219
1895023,600.0,562.0,38.0,40.0,0.08040094375610352,9.942054748535156e-05
1895024,562.0,524.0,38.0,40.0,0.0778965950012207,0.00010704994201660156
1895025,563.0,524.0,39.0,41.0,0.07977700233459473,0.00010609626770019531
1895026,564.0,524.0,40.0,42.0,0.081939697265625,0.00010824203491210938
1895027,564.0,524.0,40.0,42.0,0.08128094673156738,0.00010657310485839844
