SECONDS,decode_completed
267.92774629592896,104614.0
267.92774629592896,104611.0
267.92774629592896,104612.0
267.92774629592896,104595.0
267.92774629592896,104608.0
267.92774629592896,104623.0
267.92774629592896,104610.0
267.92774629592896,104605.0
267.92774629592896,104606.0
267.92774629592896,104617.0
267.92774629592896,104615.0
267.92774629592896,104598.0
267.92774629592896,104597.0
267.92774629592896,104596.0
267.92774629592896,104599.0
267.92774629592896,104624.0
267.92774629592896,104613.0
267.92774629592896,104609.0
267.92774629592896,104618.0
267.92774629592896,104619.0
267.92774629592896,104620.0
267.92774629592896,104621.0
267.92774629592896,104622.0
267.92774629592896,104616.0
267.92774629592896,104601.0
267.92774629592896,104603.0
267.92774629592896,104604.0
267.92774629592896,104600.0
267.92774629592896,104607.0
267.92774629592896,104602.0
268.01124477386475,104648.0
268.01124477386475,104627.0
268.01124477386475,104642.0
268.01124477386475,104641.0
268.01124477386475,104631.0
268.01124477386475,104646.0
268.01124477386475,104645.0
268.01124477386475,104644.0
268.01124477386475,104628.0
268.01124477386475,104655.0
268.01124477386475,104633.0
268.01124477386475,104650.0
268.01124477386475,104649.0
268.01124477386475,104651.0
268.01124477386475,104654.0
268.01124477386475,104653.0
268.01124477386475,104639.0
268.01124477386475,104632.0
268.01124477386475,104635.0
268.01124477386475,104636.0
268.01124477386475,104637.0
268.01124477386475,104638.0
268.01124477386475,104652.0
268.01124477386475,104634.0
268.01124477386475,104640.0
268.01124477386475,104647.0
268.01124477386475,104630.0
268.01124477386475,104629.0
268.01124477386475,104626.0
268.01124477386475,104643.0
268.01124477386475,104625.0
268.06955337524414,104684.0
268.06955337524414,104671.0
268.06955337524414,104656.0
268.06955337524414,104683.0
268.06955337524414,104666.0
268.06955337524414,104657.0
268.06955337524414,104661.0
268.06955337524414,104658.0
268.06955337524414,104665.0
268.06955337524414,104664.0
268.06955337524414,104667.0
268.06955337524414,104669.0
268.06955337524414,104670.0
268.06955337524414,104678.0
268.06955337524414,104681.0
268.06955337524414,104662.0
268.06955337524414,104679.0
268.06955337524414,104675.0
268.06955337524414,104676.0
268.06955337524414,104677.0
268.06955337524414,104659.0
268.06955337524414,104674.0
268.06955337524414,104673.0
268.06955337524414,104672.0
268.06955337524414,104682.0
268.06955337524414,104680.0
268.06955337524414,104660.0
268.06955337524414,104685.0
268.06955337524414,104686.0
268.06955337524414,104668.0
268.06955337524414,104663.0
268.1318099498749,104703.0
268.1318099498749,104688.0
268.1318099498749,104700.0
268.1318099498749,104696.0
268.1318099498749,104701.0
268.1318099498749,104702.0
268.1318099498749,104706.0
268.1318099498749,104705.0
268.1318099498749,104694.0
268.1318099498749,104711.0
268.1318099498749,104713.0
268.1318099498749,104712.0
268.1318099498749,104704.0
268.1318099498749,104714.0
268.1318099498749,104697.0
268.1318099498749,104698.0
268.1318099498749,104709.0
268.1318099498749,104710.0
268.1318099498749,104708.0
268.1318099498749,104707.0
268.1318099498749,104692.0
268.1318099498749,104691.0
268.1318099498749,104689.0
268.1318099498749,104693.0
268.1318099498749,104687.0
268.1318099498749,104690.0
268.1318099498749,104695.0
268.1318099498749,104715.0
268.1318099498749,104716.0
268.1318099498749,104717.0
268.1318099498749,104699.0
268.18853855133057,104733.0
268.18853855133057,104734.0
268.18853855133057,104726.0
268.18853855133057,104725.0
268.18853855133057,104743.0
268.18853855133057,104723.0
268.18853855133057,104729.0
268.18853855133057,104730.0
268.18853855133057,104745.0
268.18853855133057,104744.0
268.18853855133057,104742.0
268.18853855133057,104741.0
268.18853855133057,104724.0
268.18853855133057,104737.0
268.18853855133057,104738.0
268.18853855133057,104746.0
268.18853855133057,104736.0
268.18853855133057,104732.0
268.18853855133057,104731.0
268.18853855133057,104721.0
268.18853855133057,104719.0
268.18853855133057,104727.0
268.18853855133057,104722.0
268.18853855133057,104728.0
268.18853855133057,104718.0
268.18853855133057,104735.0
268.18853855133057,104720.0
268.18853855133057,104740.0
268.18853855133057,104739.0
268.2495369911194,104747.0
268.2495369911194,104772.0
268.2495369911194,104771.0
268.2495369911194,104775.0
268.2495369911194,104758.0
268.2495369911194,104750.0
268.2495369911194,104749.0
268.2495369911194,104767.0
268.2495369911194,104757.0
268.2495369911194,104751.0
268.2495369911194,104752.0
268.2495369911194,104765.0
268.2495369911194,104759.0
268.2495369911194,104766.0
268.2495369911194,104755.0
268.2495369911194,104774.0
268.2495369911194,104748.0
268.2495369911194,104769.0
268.2495369911194,104768.0
268.2495369911194,104773.0
268.2495369911194,104764.0
268.2495369911194,104760.0
268.2495369911194,104763.0
268.2495369911194,104753.0
268.2495369911194,104754.0
268.2495369911194,104761.0
268.2495369911194,104762.0
268.2495369911194,104770.0
268.2495369911194,104756.0
268.3310546875,104802.0
268.3310546875,104787.0
268.3310546875,104803.0
268.3310546875,104788.0
268.3310546875,104779.0
268.3310546875,104800.0
268.3310546875,104794.0
268.3310546875,104797.0
268.3310546875,104798.0
268.3310546875,104804.0
268.3310546875,104790.0
268.3310546875,104789.0
268.3310546875,104795.0
268.3310546875,104796.0
268.3310546875,104799.0
268.3310546875,104784.0
268.3310546875,104780.0
268.3310546875,104793.0
268.3310546875,104792.0
268.3310546875,104781.0
268.3310546875,104777.0
268.3310546875,104783.0
268.3310546875,104782.0
268.3310546875,104801.0
268.3310546875,104786.0
268.3310546875,104776.0
268.3310546875,104791.0
268.3310546875,104785.0
268.3310546875,104778.0
268.38805770874023,104822.0
268.38805770874023,104807.0
268.38805770874023,104811.0
268.38805770874023,104826.0
268.38805770874023,104832.0
268.38805770874023,104819.0
268.38805770874023,104831.0
268.38805770874023,104814.0
268.38805770874023,104816.0
268.38805770874023,104824.0
268.38805770874023,104820.0
268.38805770874023,104812.0
268.38805770874023,104825.0
268.38805770874023,104827.0
268.38805770874023,104828.0
268.38805770874023,104815.0
268.38805770874023,104817.0
268.38805770874023,104823.0
268.38805770874023,104810.0
268.38805770874023,104809.0
268.38805770874023,104808.0
